Timestamp;Temperature;Relative Humidity;Atmospheric Pressure (red.);Atmospheric Pressure (Station Level);Precipitation
1426720501.0;5.0;60;1025.3;999.5;0.0
1426724102.0;3.6;66;1025.2;999.3;0.0
1426727701.0;2.6;69;1024.9;998.9;0.0
1426731304.0;3.0;67;1025.1;999.2;0.0
1426734901.0;2.6;68;1025.2;999.2;0.0
1426738501.0;2.2;70;1025.5;999.5;0.0
1426742101.0;1.9;70;1025.7;999.6;0.0
1426745702.0;2.4;69;1026.2;1000.2;0.0
1426749302.0;4.9;58;1026.6;1000.8;0.0
1426752902.0;5.5;58;1027.2;1001.4;0.0
1426756502.0;6.4;55;1027.3;1001.6;0.0
1426760102.0;7.4;54;1027.1;1001.5;0.0
1426763702.0;9.0;49;1026.6;1001.2;0.0
1426767301.0;10.0;45;1025.9;1000.6;0.0
1426770902.0;10.9;43;1025.3;1000.1;0.0
1426774501.0;11.2;41;1024.9;999.7;0.0
1426778101.0;11.1;44;1024.7;999.5;0.0
1426781701.0;10.5;46;1024.6;999.4;0.0
1426785302.0;8.5;52;1025.0;999.6;0.0
1426788902.0;7.2;57;1025.6;1000.0;0.0
1426792501.0;5.4;66;1025.9;1000.2;0.0
1426796101.0;4.6;67;1026.1;1000.3;0.0
1426799701.0;5.0;61;1026.3;1000.5;0.0
1426803302.0;5.6;56;1026.0;1000.3;0.0
1426806902.0;3.9;64;1026.1;1000.2;0.0
1426810502.0;2.6;71;1026.2;1000.2;0.0
1426814102.0;1.8;77;1026.2;1000.1;0.0
1426817702.0;1.0;79;1026.0;999.9;0.0
1426821302.0;1.3;77;1025.8;999.7;0.0
1426824901.0;0.2;84;1026.1;999.9;0.0
1426828502.0;-0.3;86;1026.5;1000.2;0.0
1426832102.0;1.0;82;1026.7;1000.5;0.0
1426835701.0;4.2;71;1026.3;1000.5;0.0
1426839302.0;4.9;66;1026.6;1000.8;0.0
1426842902.0;6.6;58;1026.4;1000.8;0.0
1426846501.0;6.4;59;1026.1;1000.5;0.0
1426850101.0;8.4;56;1025.6;1000.2;0.0
1426853701.0;9.4;49;1024.9;999.6;0.0
1426857301.0;10.3;45;1024.1;998.9;0.0
1426860902.0;11.6;40;1023.3;998.2;0.0
1426864502.0;11.1;41;1022.4;997.3;0.0
1426868102.0;10.0;43;1022.1;996.9;0.0
1426871702.0;8.6;47;1022.0;996.7;0.0
